Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total,Source
FF55724,"Central Power of St Louis MO - Maryland Heights MO","Dozer, 40,000 lbs+",2025-12-15,2025-12-17,2025-12-23,2323.29,Graham
E8D5CVT,"Blakley Equipment Inc - Mount Vernon NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2025-12-15,2025-12-16,179,Graham
H3F2AGE,"St. Jacobs Property Maintenance","Tractor, 125 hp+",2025-12-15,2025-12-16,2026-04-07,19200,Graham
4TZ3HZR,"NG Equipment Sales - Phoenix AZ","Mini Excavator, 1.5 ton",2025-12-15,2025-12-16,2026-01-12,1238.3,System Process
VBC275G,"Discount Forklift - Dallas Fort Worth TX","Custom/Other",2025-12-12,2025-12-15,2025-12-21,3875,Graham
2V3YVCD,"Mcleary Lift Equipment - Brampton ON","Custom/Other",2025-12-11,2025-12-15,2025-12-16,800,Graham
4JLUW96,"Cowin Equipment Company Inc. - Birmingham, AL","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-11,2025-12-12,2025-12-13,380,Graham
WCPSEWL,"Robin Rents - Huntsville (North) AL","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-12-10,2025-12-11,2025-12-12,490,Graham
QJQ4J8W,"Rent Equip - Austin TX","Dozer, 15,000 lbs+",2025-12-09,2025-12-10,2025-12-17,1500,Graham
H2EJG4V,"GTA Equipment Rentals - Oakville ON","Custom/Other",2025-12-09,2025-12-09,2026-03-24,2120,Graham
C6YU6T6,"Rental Guys - Orangevale CA","Custom/Other",2025-12-09,2025-12-09,2025-12-10,300,Graham
574TWRR,"Lift Truck Supply - Tyler TX","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2025-12-09,2025-12-11,2025-12-13,822,System Process
LFPPGV7,"Lybroco Rentals - Edmonton AB","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-08,2025-12-11,2025-12-12,117.6,System Process
58QPH5S,"Tejas Equipment Rental - Houston TX ","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-08,2025-12-09,2025-12-11,920,Graham
WB6J48C,"Tejas Equipment Rental - Houston TX ","Custom/Other",2025-12-08,2025-12-08,2025-12-10,480,Graham
DG89URD,"Aerial Plus - Burlington ON","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-05,2025-12-09,2025-12-10,140,System Process
XTH67AH,"U-Rent It Sales & Service - Rockwall TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-04,2025-12-08,2025-12-14,222.6,Graham
ZRHPUR2,"Lift X Rentals - Palmetto FL","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-04,2025-12-05,2025-12-12,800,System Process
E2UZ64F,"Great Rate Rentals - South Windsor CT","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-04,2025-12-06,2025-12-07,299,Graham
D4PZP8U,"Dominic's Equipment Rental - Monroe PA","Custom/Other",2025-12-03,2025-12-04,2025-12-11,1058,Graham
9ZS766Y,"All Pro Lift and Equipment LLC - Phoenix AZ","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-02,2025-12-04,2025-12-11,846.4,System Process
JLQTYLE,"All Pro Lift and Equipment LLC - Phoenix AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-01,2025-12-01,2025-12-02,126,Graham
VV3FSJT,"Aerial Plus - Burlington ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-01,2025-12-02,2025-12-08,300,System Process
7X4WDBK,"Continental Lift Truck - New York NY","Custom/Other",2025-11-28,2025-12-02,2025-12-30,825,Graham
XV3PJSG,"Encon Equipment LLC","Custom/Other",2025-11-28,2025-12-29,2025-12-30,216,Graham
R433HLG,"Coastal Rental Center - New Port Richey FL","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-28,2025-11-29,2025-11-30,625,Graham
P86TLET,"Skyblack Rentals - Houston TX","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-26,2025-12-02,2025-12-03,242.4,System Process
Y7S9WCS,"Sunstate Equipment - Atlanta GA","Custom/Other",2025-11-26,2025-12-01,2025-12-08,2300,Graham
GLXK8GA,"Eastern Tennessee Rent-Alls - Johnson City TN","Custom/Other",2025-11-25,2025-11-26,2025-11-29,500,Graham
FRV6HEP,"Aerial Plus - Burlington ON","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-25,2025-11-28,2025-11-29,316,System Process
J2LVQYD,"Illinois Lift Equipment - Cary IL","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-25,2025-11-28,2025-12-05,1200,System Process
8S952YE,"Global Lions Rental Inc - Vancouver BC","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-24,2025-11-25,2026-02-17,10500,Graham
LBRWQBK,"Aerial Plus - Burlington ON","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-24,2025-11-25,2025-11-26,156,System Process
CD5ZHEA,"Northside Tool Rental - Buckhead (Atlanta) GA","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-24,2025-11-25,2025-11-26,175,Graham
G4CS582,"Illinois Lift Equipment - Cary IL","Rough Terrain Scissor Lift, 26 ft",2025-11-21,2025-11-25,2025-11-26,236.6,System Process
Q76D63J,"HTX Material Handling - Houston TX","Custom/Other",2025-11-21,2025-11-24,2025-12-22,5200,Graham
XBACCJS,"HTX Material Handling - Houston TX","Custom/Other",2025-11-21,2025-11-24,2025-12-22,5200,Graham
X34G3U6,"Aerial Plus - Burlington ON","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-20,2025-11-21,2025-12-05,792,System Process
FY5BBV5,"H&C Rents - Murfreesboro, TN","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-20,2025-11-22,2025-11-24,900,Graham
BU6FZS9,"Need a Lift Rentals - Fort Lauderdale FL","Custom/Other",2025-11-20,2025-11-20,2025-11-27,320,Graham
UY8FP92,"Aerial Plus - Burlington ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-19,2025-11-20,2025-11-21,236,System Process
Y52FW9V,"The Rental Guys - Calgary AB","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-19,2025-11-19,2025-11-20,525,Graham
K778LKZ,"Need a Lift Rentals - Fort Lauderdale FL","Scissor Lift, Vertical Man Lift",2025-11-18,2025-11-20,2025-11-27,320,System Process
UDP9H8S,"Sunstate Equipment - San Antonio TX","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-18,2025-11-19,2025-11-20,365,Graham
ZZHTEH3,"J-AAR Excavating Limited","Custom/Other",2025-11-18,2025-11-20,2026-02-16,53000,Graham
53RX6W7,"Illinois Lift Equipment - Cary IL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-17,2025-12-03,2025-12-04,350.4,System Process
K9ASXCE,"Illinois Lift Equipment - Cary IL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-17,2025-12-03,2025-12-04,350.4,System Process
E9R3YGT,"Darr Equipment Co. - Dallas, TX (HQ)","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-15,2025-11-18,2025-11-20,193.2,System Process
HGBHYHL,"Gerken Rent-All - Kansas City KS","Straight Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-14,2025-11-18,2025-11-24,1499,Graham
7WFETFY,"Sunstate Equipment - Fort Collins CO","Pneumatic Tire Forklift, 5000 lbs",2025-11-14,2025-11-17,2025-11-24,675,Graham
KT9K5WE,"Sunstate Equipment - Jacksonville FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-12-15,650,Graham
AUF6HW6,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-24,250.4,Graham
ZYQ5VKD,"Sunstate Equipment - Tulsa OK","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-14,2025-11-17,2025-12-14,1000,System Process
H834BRY,"Rental Stop - Grande Prairie TX","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-14,2025-11-15,2025-11-16,460.8,Graham
XQTTX83,"Sunstate Equipment - Prescott Valley AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-23,245,Graham
JTX77Z5,"CONEQ Rentals - Woodbridge ON","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-11-14,2025-11-17,2025-11-23,800,System Process
WQABE7P,"Sunstate Equipment - Balch Springs TX","Custom/Other",2025-11-14,2025-11-14,2025-11-21,105,Graham
EVA99GH,"Sun Coast Rentals - Carpinteria CA","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-11-13,2025-11-14,2025-11-15,295,Graham
T9DRF8H,"U-Rent It Sales & Service - Rockwall TX","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-13,2025-11-13,2025-11-14,350,Graham
PRKL5DC,"Rent City of Altus Inc - Atlus, OK","Pneumatic Tire Forklift, 5000 lbs",2025-11-12,2025-11-12,2025-11-13,285,Graham
J94VQSK,"Rent City of Altus Inc - Atlus, OK","Custom/Other",2025-11-12,2025-11-12,2025-11-13,50,Graham
GQT2ZLY,"Pioneer Equipment Company - Jacksonville FL","Excavator, 25 ton+",2025-11-12,2025-12-12,2025-12-18,2450.4,System Process
YB9S42F,"Carolina Industrial Trucks - Charlotte NC","Pneumatic Tire Forklift, 5000 lbs",2025-11-12,2025-11-12,2025-11-13,400,Graham
QKHY65K,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-12,2025-11-13,2025-11-19,375.2,System Process
K657JYW,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-12,2025-11-13,2025-11-19,375.2,System Process
